Concatenate (EBS),Supplier,PO No  ( EBS ),PO ( EBS ) Delivery Date,MRR No. ( EBS ),MRR Date ( EBS ),MRR No. ( Fusion ),MRR Release Date,Invoice Number,Invoice Ref.
16422-13327,"SHANDONG PHARMACEUTICAL GLASS CO., LTD.",16422,2023-05-15,13327,2023-10-20,13628,2023-10-25,0,Not Submitted
17175-13326,"SHANDONG PHARMACEUTICAL GLASS CO., LTD.",17175,2023-09-10,13326,2023-10-20,13627,2023-10-25,0,Not Submitted
16135-13281,ASHLAND SPECIALTY CHEMICAL (SINGAPORE) PTE. LTD,16135,2023-01-15,13281,2023-10-13,13545,2023-11-03,0,Not Submitted
16135-13280,ASHLAND SPECIALTY CHEMICAL (SINGAPORE) PTE. LTD,16135,2023-01-15,13280,2023-10-13,13533,2023-11-03,0,Not Submitted
16885-13265,"ZHEJIANG LANGHUA PHARMACEUTICAL CO.,LTD CHINA",16885,2023-06-20,13265,2023-10-12,13542,2023-11-03,0,Not Submitted
17539-13258,RELIABLE INTERNATIONAL,17539,2023-09-30,13258,2023-10-12,13552,2023-11-03,0,Not Submitted
17493-13248,METIER IMPRESSIONS (PVT) LTD.,17493,2023-09-25,13248,2023-10-11,0,2023-10-20,0,Not Submitted
17395-13247,METIER IMPRESSIONS (PVT) LTD.,17395,2023-09-25,13247,2023-10-11,13592,2023-10-24,0,Not Submitted
17395-13246,METIER IMPRESSIONS (PVT) LTD.,17395,2023-09-25,13246,2023-10-11,13591,2023-10-24,0,Not Submitted
16985-13245,OXO TRANSLATIONAL SCIENCE GMBH,16985,2023-08-22,13245,2023-10-10,13528,2023-11-03,0,Not Submitted
16985-13244,OXO TRANSLATIONAL SCIENCE GMBH,16985,2023-08-22,13244,2023-10-10,13511,2023-11-03,0,Not Submitted
17240-13235,METIER IMPRESSIONS (PVT) LTD.,17240,2023-09-20,13235,2023-10-10,13588,2023-10-24,0,Not Submitted
16229-13202,IFTEKHAR INTERNATIONAL,16229,2023-02-20,13202,2023-10-06,13571,2023-10-19,0,Not Submitted
17245-13181,ZHUHAI CHUMING DEVELOPMENT COMPANY LTD. CHINA,17245,2023-10-01,13181,2023-10-03,13499,2023-11-03,0,Not Submitted
17245-13180,ZHUHAI CHUMING DEVELOPMENT COMPANY LTD. CHINA,17245,2023-10-01,13180,2023-10-03,13487,2023-11-03,0,Not Submitted
17227-13150,M. A. PRINTERS,17227,2023-09-15,13150,2023-09-26,13468,2023-10-02,0,Not Submitted
17146-13149,M. A. PRINTERS,17146,2023-09-05,13149,2023-09-26,13467,2023-10-02,0,Not Submitted
16197-13142,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,16197,2023-02-10,13142,2023-09-22,13465,2023-11-03,0,Not Submitted
16197-13141,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,16197,2023-02-10,13141,2023-09-22,13452,2023-11-03,0,Not Submitted
16197-13140,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,16197,2023-02-10,13140,2023-09-22,13430,2023-11-03,0,Not Submitted
16197-13139,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,16197,2023-02-10,13139,2023-09-22,13429,2023-11-03,0,Not Submitted
17260-13138,ASHLAND SPECIALTY CHEMICAL (SINGAPORE) PTE. LTD,17260,2023-09-10,13138,2023-09-22,13442,2023-11-03,0,Not Submitted
15633-13135,MERZ THERAPEUTICS GMBH,15633,2022-12-30,13135,2023-09-22,13440,2023-11-03,0,Not Submitted
15633-13134,MERZ THERAPEUTICS GMBH,15633,2022-12-30,13134,2023-09-22,13439,2023-11-03,0,Not Submitted
17181-13120,STANDARD SCIENTIFIC SUPPLIES,17181,2023-08-15,13120,2023-09-21,0,,0,Not Submitted
17089-13112,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,17089,2023-09-18,13112,2023-09-20,13428,2023-11-03,0,Not Submitted
17208-13106,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17208,2023-08-14,13106,2023-09-13,13423,2023-11-03,0,Not Submitted
17208-13105,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17208,2023-08-14,13105,2023-09-13,13419,2023-11-03,0,Not Submitted
17208-13104,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17208,2023-08-14,13104,2023-09-13,13416,2023-11-03,0,Not Submitted
17208-13103,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,17208,2023-08-14,13103,2023-09-13,13415,2023-11-03,0,Not Submitted
16306-13101,MAPS LABORATORIES PRIVATE LIMITED INDIA,16306,2023-04-25,13101,2023-09-13,13424,2023-11-03,0,Not Submitted
16181-13094,"Lianyungang Guike Pharmaceutical Co., Ltd.",16181,2023-03-30,13094,2023-09-12,13408,2023-11-03,0,Not Submitted
16181-13093,"Lianyungang Guike Pharmaceutical Co., Ltd.",16181,2023-03-30,13093,2023-09-12,13407,2023-11-03,0,Not Submitted
16181-13092,"Lianyungang Guike Pharmaceutical Co., Ltd.",16181,2023-03-30,13092,2023-09-12,13406,2023-11-03,0,Not Submitted
17016-13088,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,17016,2023-08-20,13088,2023-09-08,13404,2023-11-03,0,Not Submitted
17008-13080,VISION PHARMACEUTICALS (PRIVATE) LIMITED,17008,2023-08-07,13080,2023-09-06,0,,0,Not Submitted
17095-13079,VISION PHARMACEUTICALS (PRIVATE) LIMITED,17095,2023-08-15,13079,2023-09-06,0,,0,Not Submitted
16978-13078,M/S ALI ENTERPRISES,16978,2023-03-30,13078,2023-09-06,0,,0,Not Submitted
17087-13068,ZHEJIANG JINGXIN PHARMA IMPORT/EXPORT CO LTD CHINA,17087,2023-09-18,13068,2023-09-05,13437,2023-11-03,0,Not Submitted
17083-13060,HEALTH CAPSULES PAKISTAN (PRIVATE) LIMITED,17083,2023-09-15,13060,2023-09-01,13390,2023-09-11,0,Not Submitted
17102-13028,"ZHEJIANG LANGHUA PHARMACEUTICAL CO.,LTD CHINA",17102,2023-08-20,13028,2023-08-28,13340,2023-08-31,0,Not Submitted
16195-13026,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,16195,2023-01-10,13026,2023-06-13,13332,2023-08-30,0,Not Submitted
16195-13025,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,16195,2023-01-10,13025,2023-06-13,13324,2023-08-29,0,Not Submitted
16195-13024,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,16195,2023-01-10,13024,2023-06-13,13323,2023-08-28,0,Not Submitted
16195-13023,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,16195,2023-01-10,13023,2023-06-13,13316,2023-08-26,0,Not Submitted
15528-12991,"MOEHS CANTABRA, S. L",15528,2022-12-11,12991,2023-08-18,13293,2023-08-21,0,Not Submitted
15528-12990,"MOEHS CANTABRA, S. L",15528,2022-12-11,12990,2023-08-18,13292,2023-08-21,0,Not Submitted
17130-12970,AL NAFAY GRAVURE,17130,2023-08-31,12970,2023-08-10,0,,0,Not Submitted
17130-12970,AL NAFAY GRAVURE,17130,2023-08-31,12970,2023-08-10,0,,0,Not Submitted
15203-12927,"Lianyungang Guike Pharmaceutical Co., Ltd.",15203,2023-01-30,12927,2023-08-03,13241,2023-08-07,0,Not Submitted
15792-12926,J. RETTENMAIER & SOHNE GMBH+CO,15792,2023-02-10,12926,2023-08-03,13266,2023-08-15,0,Not Submitted
15792-12925,J. RETTENMAIER & SOHNE GMBH+CO,15792,2022-12-15,12925,2023-08-03,13265,2023-08-15,0,Not Submitted
17027-12924,"JIANGXI CHUNGUANG NEW MATERIALS TECHNOLOGY CO.,LTD",17027,2023-07-20,12924,2023-08-03,13295,2023-08-22,0,Not Submitted
15945-12921,ZHUHAI CHUMING DEVELOPMENT COMPANY LTD. CHINA,15945,2023-03-20,12921,2023-08-02,13245,2023-08-08,0,Not Submitted
15945-12920,ZHUHAI CHUMING DEVELOPMENT COMPANY LTD. CHINA,15945,2023-03-20,12920,2023-08-02,13244,2023-08-07,0,Not Submitted
15945-12919,ZHUHAI CHUMING DEVELOPMENT COMPANY LTD. CHINA,15945,2023-03-20,12919,2023-08-02,13242,2023-08-07,0,Not Submitted
16891-12917,"HUBEI YITAI PHARMACEUTICAL CO.,LTD.CHINA",16891,2023-08-08,12917,2023-08-02,13256,2023-08-11,0,Not Submitted
16978-12915,M/S ALI ENTERPRISES,16978,2023-03-30,12915,2023-08-01,0,,0,Not Submitted
16961-12913,"ICROM SPA.,ITALY",16961,2023-08-08,12913,2023-07-31,13232,2023-08-03,0,Not Submitted
15560-12909,COLORCON LTD.,15560,2023-01-10,12909,2023-06-13,13227,2023-07-31,0,Not Submitted
17027-12900,"JIANGXI CHUNGUANG NEW MATERIALS TECHNOLOGY CO.,LTD",17027,2023-07-20,12900,2023-07-25,13301,2023-08-22,0,Not Submitted
16350-12880,SYMED LABS LTD. INDIA,16350,2023-05-01,12880,2023-07-20,13201,2023-07-21,0,Not Submitted
16205-12878,"MOREPEN LABORATORIES LIMITED ,INDIA",16205,2023-03-30,12878,2023-06-13,13220,2023-07-26,0,Not Submitted
14926-12861,VASUDHA PHARMA CHEM LTD.INDIA,14926,2022-08-10,12861,2023-07-18,13195,2023-07-21,0,Not Submitted
16356-12854,SHANGHAI YUKING WATER SOLUBLE MAT. T.CO. LTD.CHINA,16356,2023-04-01,12854,2023-07-14,13179,2023-07-19,0,Not Submitted
15945-12852,ZHUHAI CHUMING DEVELOPMENT COMPANY LTD. CHINA,15945,2023-03-20,12852,2023-07-14,13186,2023-07-20,0,Not Submitted
15945-12851,ZHUHAI CHUMING DEVELOPMENT COMPANY LTD. CHINA,15945,2023-03-20,12851,2023-07-14,13151,2023-07-15,0,Not Submitted
15472-12841,"Lianyungang Guike Pharmaceutical Co., Ltd.",15472,2023-01-01,12841,2023-07-10,13165,2023-07-15,0,Not Submitted
15472-12839,"Lianyungang Guike Pharmaceutical Co., Ltd.",15472,2023-01-01,12839,2023-07-10,13150,2023-07-15,0,Not Submitted
15472-12838,"Lianyungang Guike Pharmaceutical Co., Ltd.",15472,2023-01-01,12838,2023-07-10,13149,2023-07-15,0,Not Submitted
16177-12770,IDEAL CURES PRIVATE LIMITED,16177,2023-02-10,12770,2023-06-13,13080,2023-06-27,0,Not Submitted
16316-12710,GHANI GLASS LIMITED,16316,2023-03-30,12710,2023-06-14,13056,2023-06-14,0,Not Submitted
16653-12541,ELITE CHEMICALS,16653,2023-05-10,12541,2023-05-11,0,,0,Not Submitted
16652-12511,"SHANDONG PHARMACEUTICAL GLASS CO., LTD.",16652,2022-07-02,12511,2023-05-03,12887,2023-05-12,0,Not Submitted
16652-12510,"SHANDONG PHARMACEUTICAL GLASS CO., LTD.",16652,2022-07-02,12510,2023-05-03,12854,2023-05-03,0,Not Submitted
16344-12509,HEALTH CAPSULES PAKISTAN (PRIVATE) LIMITED,16344,2023-02-01,12509,2023-05-02,12871,2023-05-10,0,Not Submitted
16344-12508,HEALTH CAPSULES PAKISTAN (PRIVATE) LIMITED,16344,2023-03-20,12508,2023-05-02,12870,2023-05-10,0,Not Submitted
15860-12501,"JIANGXI CHUNGUANG NEW MATERIALS TECHNOLOGY CO.,LTD",15860,2023-03-06,12501,2023-04-28,12879,2023-05-11,0,Not Submitted
15860-12500,"JIANGXI CHUNGUANG NEW MATERIALS TECHNOLOGY CO.,LTD",15860,2023-03-06,12500,2023-04-28,12878,2023-05-11,0,Not Submitted
16140-12438,COLORCON LTD.,16140,2023-04-15,12438,2023-04-12,12807,2023-04-17,0,Not Submitted
16494-12437,COLORCON LTD.,16494,2023-04-29,12437,2023-04-12,12806,2023-04-17,0,Not Submitted
13363-12405,OXO TRANSLATIONAL SCIENCE GMBH,13363,2022-03-01,12405,2023-04-04,12773,2023-04-06,0,Not Submitted
13363-12405,OXO TRANSLATIONAL SCIENCE GMBH,13363,2022-03-01,12405,2023-04-04,12773,2023-04-06,0,Not Submitted
16485-12395,"SHENZHEN SIJIA PHARMACEUTICAL CO., LTD.",16485,2023-02-15,12395,2023-03-31,12772,2023-04-05,0,Not Submitted
15943-12351,AARTI DRUGS LIMITED,15943,2023-05-02,12351,2023-03-15,0,2023-03-17,0,Not Submitted
15194-12326,KAJ OVERSEAS CORPORATION,15194,2022-06-01,12326,2023-03-10,12711,2023-11-03,0,Not Submitted
15950-12283,RAFHAN MAIZE PRODUCTS COMPANY LIMITED,15950,2023-02-25,12283,2023-03-06,12682,2023-03-13,0,Not Submitted
16229-12266,IFTEKHAR INTERNATIONAL,16229,2023-02-20,12266,2023-03-02,0,,0,Not Submitted
16239-12257,PAK ELECTRON BEAM IRRADIATION (PVT.) LTD.,16239,2023-02-10,12257,2023-03-01,0,,0,Not Submitted
16239-12256,PAK ELECTRON BEAM IRRADIATION (PVT.) LTD.,16239,2023-01-31,12256,2023-03-01,0,,0,Not Submitted
16253-12220,"NINGBO YUNMA INTERNATIONAL TRADE CO.,LTD",16253,2022-09-18,12220,2023-02-23,12714,2023-03-17,0,Not Submitted
14478-12217,"TAIZHOU KAIJIE INTERNATIONAL TRADE CO., LTD",14478,2022-06-16,12217,2023-02-22,0,,0,Not Submitted
14478-12216,"TAIZHOU KAIJIE INTERNATIONAL TRADE CO., LTD",14478,2022-06-22,12216,2023-02-22,0,,0,Not Submitted
15114-12169,ASHLAND SPECIALTY CHEMICAL (SINGAPORE) PTE. LTD,15114,2022-09-15,12169,2023-02-09,12555,2023-02-14,0,Not Submitted
15114-12168,ASHLAND SPECIALTY CHEMICAL (SINGAPORE) PTE. LTD,15114,2022-09-15,12168,2023-02-09,12584,2023-02-17,0,Not Submitted
15114-12167,ASHLAND SPECIALTY CHEMICAL (SINGAPORE) PTE. LTD,15114,2022-09-15,12167,2023-02-09,12554,2023-02-13,0,Not Submitted
13303-12145,GELCAPS (PAKISTAN) LIMITED,13303,2022-02-20,12145,2023-02-07,0,,0,Not Submitted
13303-12144,GELCAPS (PAKISTAN) LIMITED,13303,2022-03-20,12144,2023-02-07,0,,0,Not Submitted
15963-12097,RELIABLE INTERNATIONAL,15963,2023-01-30,12097,2023-02-01,0,,0,Not Submitted
14616-12060,EVONIK NUTRITION AND CARE GMBH,14616,2022-09-01,12060,2023-01-27,12387,2023-02-02,0,Not Submitted
15606-12044,RAFHAN MAIZE PRODUCTS COMPANY LIMITED,15606,2022-08-25,12044,2023-01-23,12501,2023-02-10,0,Not Submitted
15194-12019,KAJ OVERSEAS CORPORATION,15194,2022-06-01,12019,2023-01-19,12194,,0,Not Submitted
14298-11979,"SICHUAN HUI LI INDUSTRY CO.,LTD.",14298,2022-07-04,11979,2023-01-13,12246,2023-01-27,0,Not Submitted
14298-11978,"SICHUAN HUI LI INDUSTRY CO.,LTD.",14298,2022-07-04,11978,2023-01-13,12245,2023-01-27,0,Not Submitted
14298-11977,"SICHUAN HUI LI INDUSTRY CO.,LTD.",14298,2022-07-04,11977,2023-01-13,0,2023-11-14,0,Not Submitted
14298-11976,"SICHUAN HUI LI INDUSTRY CO.,LTD.",14298,2022-07-04,11976,2023-01-13,0,2023-10-11,0,Not Submitted
14298-11975,"SICHUAN HUI LI INDUSTRY CO.,LTD.",14298,2022-05-20,11975,2023-01-13,12272,2023-01-30,0,Not Submitted
