Concatenate (Fusion),Supplier,PO No  ( EBS ),PO ( EBS ) Delivery Date,MRR No. ( EBS ),MRR Date ( EBS ),MRR No. ( Fusion ),MRR Release Date,Invoice Number,Invoice Ref.
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-09,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-09,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-09,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-09,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
17731-10798,MUHAMMAD AFZAL -CASH PURCHASES,17731,2023-11-10,5983,2023-11-10,10798,,0,Not Submitted
