Concatenate (Fusion),Concatenate (EBS),S. No.,Supplier Name,Purchase Order No,EBS No,Fusion Receipt No,Invoice Ref.
4988-1005,4988-957,3539,Naseer Autos,4988,957,1005,4988
5017-,5017-1356,3540,Pakistan Oxygen ,5017,1356,,371519055
5017-2514,5017-,3541,Pakistan Oxygen ,5017,,2514,371519055
5017-,5017-1357,3542,Pakistan Oxygen ,5017,1357,,371519023
5017-2515,5017-,3543,Pakistan Oxygen ,5017,,2515,371519023
4719-2512,4719-,3544,Bureau Veritas,4719,,2512,19002497
4799-,4799-1411,3545,Rauf Electronic ,4799,1411,,07215/1819M
4644-,4644-3369,3546,United Chemical Corporation ,4644,3369,,002496
5149-,5149-3444,3547,Martin Dow,5149,3444,,9200007685
3275-3190,3275-3423,3548,Metier Ampoule ,3275,3423,3190,18190095
3275-,3275-3424,3549,Metier Ampoule ,3275,3424,,18190094
4999-,4999-3425,3550,Metier Ampoule ,4999,3425,,18190093
4453-,4453-3407,3551,Metier Impressions,4453,3407,,18190595
4453-,4453-3408,3552,Metier Impressions,4453,3408,,18190596
4961-,4961-3406,3553,Metier Impressions,4961,3406,,18190597
3808-3185,3808-3427,3554,Metier Impressions,3808,3427,3185,18190598
4961-,4961-3428,3555,Metier Impressions,4961,3428,,18190599
3336-,3336-3437,3556,Metier Impressions,3336,3437,,18190600
4539-,4539-3440,3557,Metier Impressions,4539,3440,,18190601
4539-,4539-3439,3558,Metier Impressions,4539,3439,,18190602
3576-,3576-3438,3559,Metier Impressions,3576,3438,,18190603
4671-,4671-3442,3560,Metier Impressions,4671,3442,,18190604
2592-3189,2592-3422,3561,Metier Plastic,2592,3422,3189,18190373
2592-3188,2592-3426,3562,Metier Plastic,2592,3426,3188,18190374
2592-,2592-3431,3563,Metier Plastic,2592,3431,,18190375
2592-,2592-3432,3564,Metier Plastic,2592,3432,,18190375
2592-,2592-3441,3565,Metier Plastic,2592,3441,,18190376
4419-990,4419-942,3566,Syscom International,4419,942,990,451
3392-910,3392-862,3567,Wadittar Engineering ,3392,862,910,1259
4912-2373,4912-1325,3568,Lucky Cement Limited,4912,1325,2373,91257391
5046-1012,5046-964,3569,Imran Engineering,5046,964,1012,136
5206-2538,5206-,3570,Transworld ,5206,,2538,INV-56050-L6K3J6
4883-2530,4883-,3571,Ghulam Muhammad Sons,4883,,2530,0237
3661-337,3661-195,3572,Jamaly Enterprises,3661,195,337,3001
3661-334,3661-180,3573,Jamaly Enterprises,3661,180,334,3001
4839-1020,4839-,3574,Naseer Autos,4839,,1020,1900/04452
4153-2519,4153-1413,3575,Micro Scientific,4153,1413,2519,13038
4980-,4980-3452,3576,Aman Enterprise,4980,3452,,526
3641-2856,3641-3038,3577,Metier Plastic,3641,3038,2856,18190280
3765-3151,3765-3376,3578,IDEAPAC,3765,3376,3151,1048
2880-2533,2880-,3579,IZEE TECH ENGINEERING,2880,,2533,172
2880-2531,2880-,3580,IZEE TECH ENGINEERING,2880,,2531,298
2060-2534,2060-,3581,Orient Rental Modarba,2060,,2534,RSRB1906016
3418-,3418-1422,3582,Syed Enterprise,3418,1422,,327
3418-,3418-1421,3583,Syed Enterprise,3418,1421,,327
3418-,3418-1420,3584,Syed Enterprise,3418,1420,,327
3418-,3418-1419,3585,Syed Enterprise,3418,1419,,327
3418-,3418-1418,3586,Syed Enterprise,3418,1418,,328
1379-2523,1379-1417,3587,Syed Enterprise,1379,1417,2523,329
1853-2522,1853-1416,3588,Dimensions,1853,1416,2522,102113
3190-2564,3190-,3589,Pakistan Oxygen ,3190,,2564,371521079
5015-1019,5015-974,3590,Hyder Ali & Co,5015,974,1019,1058625
5027-2513,5027-1407,3591,Tanvir Packages,5027,1407,2513,9312
4556-2490,4556-1399,3592,Javed Chemical ,4556,1399,2490,21190
2025-,2025-3465,3593,Iftikhar International,2025,3465,,M/783
4600-,4600-3412,3594,Iftikhar International,4600,3412,,P/030
4284-,4284-3411,3595,Iftikhar International,4284,3411,,P/031
4476-,4476-3413,3596,Iftikhar International,4476,3413,,P/032
4476-,4476-3414,3597,Iftikhar International,4476,3414,,P/033
5172-3289,5172-3430,3598,Sogo Corporation ,5172,3430,3289,SC-104903
4961-,4961-3449,3599,Metier Impressions,4961,3449,,18190605
4792-,4792-3450,3600,Metier Impressions,4792,3450,,18190606
4792-,4792-3451,3601,Metier Impressions,4792,3451,,18190606
4251-,4251-3455,3602,Metier Impressions,4251,3455,,18190607
2592-,2592-3461,3603,Metier Plastic,2592,3461,,18190377
2592-3235,2592-3462,3604,Metier Plastic,2592,3462,3235,18190377
2592-3236,2592-3463,3605,Metier Plastic,2592,3463,3236,18190377
4820-3237,4820-3464,3606,Metier Plastic,4820,3464,3237,18190378
2592-,2592-3467,3607,Metier Plastic,2592,3467,,18190379
2592-,2592-3468,3608,Metier Plastic,2592,3468,,18190379
4907-3239,4907-3466,3609,Metier Plastic,4907,3466,3239,18190380
2592-3231,2592-3517,3610,Metier Plastic,2592,3517,3231,18190381
2536-,2536-3448,3611,Metier Ampoule ,2536,3448,,18190097
4999-3232,4999-3519,3612,Metier Ampoule ,4999,3519,3232,18190100
3275-3241,3275-3518,3613,Metier Ampoule ,3275,3518,3241,18190101
3275-3233,3275-3522,3614,Metier Ampoule ,3275,3522,3233,18190098
4566-3242,4566-3520,3615,Metier Ampoule ,4566,3520,3242,18190099
4566-3225,4566-3446,3616,Metier Ampoule ,4566,3446,3225,18190096
4825-3243,4825-3458,3617,Jamaly Enterprises,4825,3458,3243,3100
5115-,5115-3459,3618,SWS Pvt Ltd,5115,3459,,1786/06/2019
5098-2570,5098-,3619,Abdul Hadi Computers,5098,,2570,BP 49
5060-,5060-1446,3620,Maxim Pakistan ,5060,1446,,MXP738/06
5231-,5231-1447,3621,Interlink Engineering ,5231,1447,,9048/18-19
5231-,5231-1448,3622,Interlink Engineering ,5231,1448,,9047/18-19
4936-2393,4936-,3623,AL MURTAZA BROTHERS,4936,,2393,12041
2880-2532,2880-,3624,IZEE TECH ENGINEERING,2880,,2532,298
3018-2565,3018-,3625,Limton Customer Care,3018,,2565,S06.000243
3018-2566,3018-,3626,Limton Customer Care,3018,,2566,S06.000244
4676-2567,4676-,3627,LIMTON CUSTOMER CARE,4676,,2567,S06.000775
4233-2298,4233-,3628,Muhammad Ahsan Contractor,4233,,2298,4233-56
4496-2557,4496-,3629,Muhammad Ahsan Contractor,4496,,2557,4496-61
4780-2389,4780-,3630,Muhammad Ahsan Contractor,4780,,2389,4780-57
2585-2511,2585-,3631,PHARMAGUIDE PUBLISHING,2585,,2511,Sals/457/19
5036-2509,5036-,3632,RIAZ MOTORS,5036,,2509,18/03570
5036-1014,5036-969,3633,RIAZ MOTORS,5036,969,1014,18/03570
4789-875,4789-,3634,WAHEED BHAI CARPENTER,4789,,875,4789/55
4789-2264,4789-,3635,WAHEED BHAI CARPENTER,4789,,2264,4789/55
3313-2357,3313-,3636,ZEPHYR WASTE SOLUTIONS,3313,,2357,ZWS-002130
3313-2356,3313-,3637,ZEPHYR WASTE SOLUTIONS,3313,,2356,ZWS-002129
3661-333,3661-179,3638,Jamaly Enterprises,3661,179,333,3001
2592-2770,2592-2930,3639,Metier Plastic,2592,2930,2770,18190286
2592-2880,2592-2931,3640,Metier Plastic,2592,2931,2880,18190286
2592-3253,2592-3546,3641,Metier Plastic,2592,3546,3253,18190382
2592-3255,2592-3548,3642,Metier Plastic,2592,3548,3255,18190382
2592-3254,2592-3547,3643,Metier Plastic,2592,3547,3254,18190382
4820-3257,4820-3553,3644,Metier Plastic,4820,3553,3257,18190384
2592-,2592-3566,3645,Metier Plastic,2592,3566,,18190385
2592-,2592-3567,3646,Metier Plastic,2592,3567,,18190385
2592-,2592-3568,3647,Metier Plastic,2592,3568,,18190386
2592-,2592-3571,3648,Metier Plastic,2592,3571,,18190387
3806-,3806-3572,3649,Metier Plastic,3806,3572,,18190388
4671-,4671-3550,3650,Metier Impressions,4671,3550,,18190608
4671-,4671-3549,3651,Metier Impressions,4671,3549,,18190609
3522-,3522-3565,3652,Metier Impressions,3522,3565,,18190610
3522-,3522-3564,3653,Metier Impressions,3522,3564,,18190611
3673-,3673-3563,3654,Metier Impressions,3673,3563,,18190612
5000-,5000-3562,3655,Metier Impressions,5000,3562,,18190613
4539-,4539-3561,3656,Metier Impressions,4539,3561,,18190614
3681-,3681-3560,3657,Metier Impressions,3681,3560,,18190615
3681-,3681-3570,3658,Metier Impressions,3681,3570,,18190616
3673-,3673-205,3659,Metier Impressions,3673,205,,18190617
4510-,4510-1451,3660,Metier Impressions,4510,1451,,18190618
2592-3258,2592-3554,3661,Metier Plastic,2592,3554,3258,18190383
2592-3259,2592-3555,3662,Metier Plastic,2592,3555,3259,18190383
5056-,5056-3558,3663,United Tubes,5056,3558,,26372
4657-3265,4657-3460,3664,Gelcaps Pakistan,4657,3460,3265,34074
3355-2546,3355-1429,3665,Javed Chemical ,3355,1429,2546,21202
3229-2548,3229-1431,3666,Javed Chemical ,3229,1431,2548,212003
3960-2547,3960-1430,3667,Javed Chemical ,3960,1430,2547,21204
4135-2549,4135-1432,3668,Javed Chemical ,4135,1432,2549,21205
4706-893,4706-847,3669,Honda Shahrah-E-Faisal,4706,847,893,"50948, 49959"
1724-2235,1724-,3670,AMMAR INTERIOR,1724,,2235,Brookes/0012/08-18
5146-2584,5146-,3671,IZEE TECH ENGINEERING,5146,,2584,193
5165-3248,5165-3433,3672,A. M Yousaf,5165,3433,3248,AMY/2392
5165-3246,5165-3434,3673,A. M Yousaf,5165,3434,3246,AMY/2392
4646-3251,4646-3445,3674,Brothers Enterprises,4646,3445,3251,94408
4918-2558,4918-,3675,MUHAMMAD AHSAN CONTRACTOR,4918,,2558,4918-62
5079-2581,5079-,3676,Habib & Sons,5079,,2581,3148
5131-1033,5131-987,3677,A. G. Associates,5131,987,1033,3040
5131-2586,5131-,3678,A. G. Associates,5131,,2586,3040
5145-1043,5145-996,3679,Ammar Electric,5145,996,1043,2374
5135-1044,5135-997,3680,Ammar Electric,5135,997,1044,2373
5225-1042,5225-995,3681,Ammar Electric,5225,995,1042,2372
5224-1041,5224-994,3682,Ammar Electric,5224,994,1041,2375
4677-1039,4677-993,3683,Imran Engineering,4677,993,1039,140
3664-,3664-206,3684,SWS Pvt Ltd,3664,206,,1793/06/2019
4186-,4186-3447,3685,Brothers Enterprises,4186,3447,,94407
4717-2396,4717-1340,3686,Zauq International,4717,1340,2396,12-225
4717-2376,4717-1327,3687,Zauq International,4717,1327,2376,12-225
4697-,4697-3557,3688,Iftikhar International,4697,3557,,P/037
4697-,4697-3556,3689,Iftikhar International,4697,3556,,P/038
5087-1047,5087-1000,3690,Imran Engineering,5087,1000,1047,144
5084-2591,5084-,3691,SNA Motors,5084,,2591,14080
4717-2574,4717-1449,3692,Zauq International,4717,1449,2574,19-234
5267-2602,5267-1468,3693,Musaji Adam & sons,5267,1468,2602,Khi-3527
4427-2597,4427-1467,3694,M.A Printer,4427,1467,2597,50
5017-2520,5017-1414,3695,Pakistan Oxygen ,5017,1414,2520,371523250
5017-2598,5017-,3696,Pakistan Oxygen ,5017,,2598,371523250
5017-2563,5017-1443,3697,Pakistan Oxygen ,5017,1443,2563,371523252
5017-2599,5017-,3698,Pakistan Oxygen ,5017,,2599,371523252
5017-2562,5017-1442,3699,Pakistan Oxygen ,5017,1442,2562,371523251
5017-2601,5017-,3700,Pakistan Oxygen ,5017,,2601,371523251
5017-2483,5017-1395,3701,Pakistan Oxygen ,5017,1395,2483,371523249
5017-2600,5017-,3702,Pakistan Oxygen ,5017,,2600,371523249
5085-1038,5085-992,3703,Defence Battery ,5085,992,1038,"004245, 004406"
5179-3250,5179-3443,3704,Sabcon Chemicals,5179,3443,3250,SAB/2747
5027-2513,5027-1409,3705,Tanvir Packages,5027,1409,2513,9312
1377-2439,1377-1366,3706,Syed Enterprise,1377,1366,2439,330
4617-1021,4617-976,3707,IZEE TECH ENGINEERING,4617,976,1021,196
4617-2529,4617-1423,3708,IZEE TECH ENGINEERING,4617,1423,2529,196
5315-1049,5315-1002,3709,Zahir Engineering,5315,1002,1049,191/Brookes
3262-2561,3262-1441,3710,Thermoline Pvt Ltd,3262,1441,2561,2019/2308
3262-2491,3262-1400,3711,Thermoline Pvt Ltd,3262,1400,2491,2019/2244
3262-2504,3262-1404,3712,Thermoline Pvt Ltd,3262,1404,2504,2019/2260
5118-2596,5118-1466,3713,Mint Printers,5118,1466,2596,21861
5118-2595,5118-1465,3714,Mint Printers,5118,1465,2595,21861
5173-,5173-3541,3715,Brothers Enterprises,5173,3541,,94533
4186-,4186-3542,3716,Brothers Enterprises,4186,3542,,94532
5173-,5173-3543,3717,Brothers Enterprises,5173,3543,,94531
4646-3251,4646-3445,3718,Brothers Enterprises,4646,3445,3251,94408
4186-,4186-3447,3719,Brothers Enterprises,4186,3447,,94407
4766-3132,4766-3384,3720,Khan Packages ,4766,3384,3132,1030
4054-,4054-3385,3721,Khan Packages ,4054,3385,,1030
4766-3266,4766-3569,3722,Khan Packages ,4766,3569,3266,1035
5026-,5026-1450,3723,Khan Packages ,5026,1450,,1035
4833-,4833-3435,3724,Khan Packages ,4833,3435,,1031
4833-,4833-3454,3725,Khan Packages ,4833,3454,,1032
4752-,4752-1415,3726,Khan Packages ,4752,1415,,1032
4833-,4833-3469,3727,Khan Packages ,4833,3469,,1033
3309-,3309-3470,3728,Khan Packages ,3309,3470,,1033
4833-,4833-3544,3729,Khan Packages ,4833,3544,,1034
4054-,4054-3545,3730,Khan Packages ,4054,3545,,1034
2165-3269,2165-3583,3731,Khan Packages ,2165,3583,3269,1036
4054-,4054-3582,3732,Khan Packages ,4054,3582,,1036
2515-,2515-3610,3733,Khan Packages ,2515,3610,,1037
2165-3310,2165-3611,3734,Khan Packages ,2165,3611,3310,1037
5171-,5171-3624,3735,Khan Packages ,5171,3624,,1038
4682-2516,4682-1410,3736,Pak Gases,4682,1410,2516,4680
5219-1045,5219-998,3737,Mia Corporation,5219,998,1045,MIA/2019/JUNE/004
5342-,5342-3617,3738,Martin Dow,5342,3617,,9200008011
5342-,5342-3618,3739,Martin Dow,5342,3618,,9200008011
5125-1052,5125-1005,3740,F.N Traders,5125,1005,1052,FN-1066
5001-,5001-3539,3741,Rafhan Maize,5001,3539,,7010388900
2592-,2592-3594,3742,Metier Plastic,2592,3594,,18190392
4566-,4566-3584,3743,Metier Ampoule ,4566,3584,,18190102
4961-,4961-3593,3744,Metier Impressions,4961,3593,,18190628
3673-,3673-207,3745,Metier Impressions,3673,207,,18190627
2077-,2077-1459,3746,Metier Impressions,2077,1459,,18190626
4510-,4510-1461,3747,Metier Impressions,4510,1461,,18190625
4358-,4358-3597,3748,Metier Impressions,4358,3597,,18190624
4358-,4358-3596,3749,Metier Impressions,4358,3596,,18190623
3336-,3336-3595,3750,Metier Impressions,3336,3595,,18190622
3681-,3681-3586,3751,Metier Impressions,3681,3586,,18190621
5210-,5210-3574,3752,Metier Impressions,5210,3574,,18190620
2536-,2536-3592,3753,Metier Ampoule ,2536,3592,,18190103
2592-,2592-3589,3754,Metier Plastic,2592,3589,,18190391
2592-,2592-3591,3755,Metier Plastic,2592,3591,,18190391
2592-,2592-3603,3756,Metier Plastic,2592,3603,,18190391
2592-,2592-3585,3757,Metier Plastic,2592,3585,,18190390
2592-,2592-3575,3758,Metier Plastic,2592,3575,,18190389
2592-,2592-3576,3759,Metier Plastic,2592,3576,,18190389
3687-,3687-3623,3760,Metier Ampoule ,3687,3623,,18190106
2536-,2536-3621,3761,Metier Ampoule ,2536,3621,,18190105
3275-,3275-3628,3762,Metier Ampoule ,3275,3628,,18190104
2592-,2592-3627,3763,Metier Plastic,2592,3627,,18190394
3806-,3806-3626,3764,Metier Plastic,3806,3626,,18190393
3673-,3673-209,3765,Metier Impressions,3673,209,,18190635
4906-,4906-3620,3766,Metier Impressions,4906,3620,,18190634
4358-,4358-3619,3767,Metier Impressions,4358,3619,,18190633
4510-,4510-1471,3768,Metier Impressions,4510,1471,,18190632
3336-,3336-3613,3769,Metier Impressions,3336,3613,,18190631
3336-,3336-3614,3770,Metier Impressions,3336,3614,,18190630
3336-,3336-3615,3771,Metier Impressions,3336,3615,,18190629
5278-,5278-1006,3772,Zahir Engineering,5278,1006,,103
5278-,5278-1007,3773,Zahir Engineering,5278,1007,,192
4753-2593,4753-1463,3774,Superline Marketing ,4753,1463,2593,INV-2258-18/19
4837-2592,4837-1462,3775,Superline Marketing ,4837,1462,2592,INV-2259-18/19
3668-,3668-204,3776,Iftikhar International,3668,204,,M/804
3673-,3673-210,3777,Metier Impressions,3673,210,,18190636
3673-,3673-3632,3778,Metier Impressions,3673,3632,,18190636
3808-,3808-3631,3779,Metier Impressions,3808,3631,,18190637
4821-,4821-3629,3780,Metier Impressions,4821,3629,,18190639
3808-,3808-3630,3781,Metier Impressions,3808,3630,,18190638
4154-2614,4154-,3782,Pakistan Oxygen ,4154,,2614,371524201
4154-2569,4154-1445,3783,Pakistan Oxygen ,4154,1445,2569,371524201
5243-,5243-1014,3784,Advance Engineering Group,5243,1014,,2453
3695-3311,3695-3577,3785,Ghani Glass,3695,3577,3311,PH21906001344
3668-,3668-208,3786,Iftikhar International,3668,208,,M/816
5174-,5174-3552,3787,Arochem,5174,3552,,AE-1112-1819
2693-,2693-3580,3788,Gelcaps Pakistan,2693,3580,,34092
4657-3312,4657-3581,3789,Gelcaps Pakistan,4657,3581,3312,34091
5246-2603,5246-1469,3790,Industrad,5246,1469,2603,672
5251-,5251-3573,3791,Brothers Enterprises,5251,3573,,94651
5251-,5251-3609,3792,Brothers Enterprises,5251,3609,,94651
5297-,5297-3625,3793,Brothers Enterprises,5297,3625,,94772
4805-,4805-74,3794,Brothers Enterprises,4805,74,,94714
3695-,3695-3616,3795,Ghani Glass,3695,3616,,PH21906001595
4556-2578,4556-1453,3796,Javed Chemical ,4556,1453,2578,21226
4804-,4804-1281,3797,Javed Chemical ,4804,1281,,21247
5143-,5143-3579,3798,Javed Chemical ,5143,3579,,21225
3695-,3695-3634,3799,Ghani Glass,3695,3634,,PH22007000017
5029-3170,5029-3316,3800,SWS Pvt Ltd,5029,3316,3170,1799/06/2019
3664-,3664-158,3801,SWS Pvt Ltd,3664,158,,1795/06/2019
3664-,3664-174,3802,SWS Pvt Ltd,3664,174,,1796/06/2019
5117-,5117-203,3803,SWS Pvt Ltd,5117,203,,1794/06/2019
5211-2620,5211-1479,3804,Javed Chemical ,5211,1479,2620,21242
5029-343,5029-194,3805,SWS Pvt Ltd,5029,194,343,1766/05/2019
4760-1051,4760-1004,3806,JES Instrumentation & Controls,4760,1004,1051,043
5017-2593,5017-1457,3807,Pakistan Oxygen ,5017,1457,2593,371524202
5017-2638,5017-,3808,Pakistan Oxygen ,5017,,2638,371524202
3695-,3695-3695,3809,Ghani Glass,3695,3695,,PH21906001596
5198-2608,5198-1474,3810,Kamtec International,5198,1474,2608,10191
5221-,5221-3587,3811,Sogo Corporation ,5221,3587,,SC-104937
4982-,4982-3540,3812,Sogo Corporation ,4982,3540,,SC-104924
5221-,5221-3588,3813,Sogo Corporation ,5221,3588,,SC-104938
4682-2516,4682-1410,3814,Pak Gases,4682,1410,2516,4680
5001-3320,5001-3539,3815,Rafhan Maize,5001,3539,3320,7210420006
5050-2616,5050-1476,3816,Pak Gases,5050,1476,2616,2426
1586-,1586-3650,3817,Martin Dow,1586,3650,,9200008135
4900-,4900-Advance,3818,M. S Engineering,4900,Advance,,S 000045
5274-2640,5274-,3819,Kamtec International,5274,,2640,10193
5236-1076,5236-1030,3820,Wadittar Engineering ,5236,1030,1076,1268
5274-2639,5274-1491,3821,Kamtec International,5274,1491,2639,10192
4229-2627,4229-,3822,Allied Rental Modaraba,4229,,2627,SINV-012236
2388-2636,2388-,3823,Telecom Engineering Company,2388,,2636,TEC/SST-1/2018/2019
5067-1061,5067-1015,3824,A. G. Associates,5067,1015,1061,3046
5237-2641,5237-,3825,Wadittar Engineering ,5237,,2641,1267
5237-2642,5237-,3826,Wadittar Engineering ,5237,,2642,1267
5239-1077,5239-1031,3827,Wadittar Engineering ,5239,1031,1077,1266
4322-1078,4322-1032,3828,Wadittar Engineering ,4322,1032,1078,1264
5377-,5377-3665,3829,Martin Dow,5377,3665,,9200008145
4072-2649,4072-,3830,UCP Pakistan,4072,,2649,UCP/BP/2019070201
5386-,5386-3653,3831,Maya Corporation,5386,3653,,6122
5390-2644,5390-,3832,WasteLand,5390,,2644,WASTELAND/INV/20190051
3809-,3809-1496,3833,Metier Impressions,3809,1496,,19200007
4881-,4881-3663,3834,Metier Impressions,4881,3663,,19200009
4881-,4881-3664,3835,Metier Impressions,4881,3664,,19200009
1707-,1707-1497,3836,Metier Impressions,1707,1497,,19200008
4881-,4881-3661,3837,Metier Impressions,4881,3661,,19200010
4881-,4881-3662,3838,Metier Impressions,4881,3662,,19200010
2592-,2592-3646,3839,Metier Plastic,2592,3646,,19200001
2592-,2592-3647,3840,Metier Plastic,2592,3647,,19200001
4820-,4820-3657,3841,Metier Plastic,4820,3657,,19200002
2592-,2592-3658,3842,Metier Plastic,2592,3658,,19200003
3806-,3806-3660,3843,Metier Plastic,3806,3660,,19200004
4510-,4510-1488,3844,Metier Impressions,4510,1488,,19200006
3808-,3808-3641,3845,Metier Impressions,3808,3641,,19200005
3681-,3681-3642,3846,Metier Impressions,3681,3642,,19200004
3681-,3681-3643,3847,Metier Impressions,3681,3643,,19200004
3808-,3808-211,3848,Metier Impressions,3808,211,,19200003
3808-,3808-3648,3849,Metier Impressions,3808,3648,,19200003
4821-,4821-3644,3850,Metier Impressions,4821,3644,,19200002
5000-,5000-3645,3851,Metier Impressions,5000,3645,,19200001
3044-3313,3044-3457,3852,Mak Kemikal,3044,3457,3313,BMK-1908
3695-,3695-3651,3853,Ghani Glass,3695,3651,,PH22007000148
4805-,4805-74,3854,Brothers Enterprises,4805,74,,94714
5297-,5297-3625,3855,Brothers Enterprises,5297,3625,,94772
5251-,5251-3573,3856,Brothers Enterprises,5251,3573,,94651
5251-,5251-3609,3857,Brothers Enterprises,5251,3609,,94651
5173-,5173-3541,3858,Brothers Enterprises,5173,3541,,94533
5173-,5173-3543,3859,Brothers Enterprises,5173,3543,,94531
4186-,4186-3542,3860,Brothers Enterprises,4186,3542,,94532
5246-2603,5246-1469,3861,Industrad,5246,1469,2603,672
627-2662,627-,3862,Limton Innovative Systems,627,,2662,S06-000316
5317-,5317-Advance,3863,LIMTON CUSTOMER CARE,5317,Advance,,S06-892/893
3805-,3805-2843,3864,Metier Impressions,3805,2843,,19050002
3805-,3805-2843,3865,Metier Impressions,3805,2843,,18190453
5083-Chowrangi,5083-,3866,Asad Water,5083,,Chowrangi,5083
5081-2668,5081-,3867,Urba Marker ,5081,,2668,BR1812
5122-2670,5122-,3868,Ghulam Muhammad Sons,5122,,2670,241
4343-2667,4343-,3869,Suzuki South,4343,,2667,23045
5134-2664,5134-,3870,Unus Engineering,5134,,2664,UE/003/BP
3842-2672,3842-,3871,SASA Engineering,3842,,2672,CBS-0100/18
179-2673,179-,3872,Cyber Engineering,179,,2673,CECS-1001
3695-,3695-3692,3873,Ghani Glass ,3695,3692,,PH22007000344
5394-,5394-3654,3874,ICI Pakistan,5394,3654,,70457996
5328-,5328-3726,3875,Metier Impressions,5328,3726,,19200023
5158-,5158-3725,3876,Metier Impressions,5158,3725,,19200022
1583-,1583-1514,3877,Metier Impressions,1583,1514,,19200021
2592-,2592-3727,3878,Metier Plastic,2592,3727,,19200013
5268-3405,5268-3679,3879,Ghani Glass ,5268,3679,3405,PH220007000268
5211-,5211-1487,3880,Javed Chemical,5211,1487,,21249
3695-,3695-3678,3881,Ghani Glass ,3695,3678,,PH220007000269
4835-,4835-3696,3882,Metier Impressions,4835,3696,,19200017
5328-,5328-3697,3883,Metier Impressions,5328,3697,,19200018
3808-,3808-3699,3884,Metier Impressions,3808,3699,,19200019
3808-,3808-3712,3885,Metier Impressions,3808,3712,,19200020
720-,720-3677,3886,SWS Pvt Ltd,720,3677,,1808/07/2019
3808-,3808-3669,3887,Metier Impressions,3808,3669,,19200011
3808-,3808-3674,3888,Metier Impressions,3808,3674,,19200012
3932-,3932-1500,3889,Metier Impressions,3932,1500,,19200013
3808-,3808-3683,3890,Metier Impressions,3808,3683,,19200014
5047-,5047-3682,3891,Metier Impressions,5047,3682,,19200015
4142-,4142-3687,3892,Metier Impressions,4142,3687,,19200016
2592-,2592-3666,3893,Metier Plastic,2592,3666 ,,19200005
5330-,5330-3668,3894,Metier Plastic,5330,3668,,19200006
2592-,2592-3667,3895,Metier Plastic,2592,3667 ,,19200005
2592-,2592-3688,3896,Metier Plastic,2592,3688 ,,19200007
5330-,5330-3686,3897,Metier Plastic,5330,3686,,19200008
2592-,2592-3689,3898,Metier Plastic,2592,3689 ,,19200007
5330-,5330-3693,3899,Metier Plastic,5330,3693 ,,19200009
5330-,5330-3708,3900,Metier Plastic,5330,3708 ,,19200009
2592-,2592-3694,3901,Metier Plastic,2592,3694 ,,19200010
2592-,2592-3695,3902,Metier Plastic,2592,3695 ,,19200010
2592-,2592-3713,3903,Metier Plastic,2592,3713 ,,19200011
4820-,4820-3711,3904,Metier Plastic,4820,3711,,19200012
3337-,3337-3673,3905,Metier Plastic,3337,3673,,19200003
3687-,3687-3709,3906,Metier Ampoule ,3687,3709,,19200004
3687-,3687-3710,3907,Metier Ampoule ,3687,3710,,19200005
5238-,5238-1037,3908,Paradise Airconditioning ,5238,1037,,987
5282-,5282-1036,3909,Paradise Airconditioning ,5282,1036,,988
5280-,5280-1499,3910,Paradise Airconditioning ,5280,1499,,989
4959-,4959-1489,3911,Lucky Cement,4959,1489,,91300662
4379-,4379-1017,3912,Syscom International,4379,1017,,`003
5254-,5254-1016,3913,Syscom International,5254,1016,,`004
4961-,4961-3449,3914,Metier Impressions,4961,3449,,19060001
4961-,4961-,3915,Metier Impressions,4961,,,18190605
5295-,5295-1478,3916,Atique Trader,5295,1478,,INV-93318
2536-,2536-3698,3917,Metier Ampoule ,2536,3698,,19200002
5234-,5234-3736,3918,Metier Impressions,5234,3736,,19200028
4961-,4961-3735,3919,Metier Impressions,4961,3735,,19200027
5328-,5328-3734,3920,Metier Impressions,5328,3734,,19200026
5059-,5059-3738,3921,Metier Impressions,5059,3738,,19200025
4949-,4949-3737,3922,Metier Impressions,4949,3737,,19200024
2592-,2592-3732,3923,Metier Plastic,2592,3732,,19200014
2592-,2592-3733,3924,Metier Plastic,2592,3733,,19200014
5362-,5362-3703,3925,Standard Manufacturing,5362,3703,,21
5273-,5273-1522,3926,A. G. Associates,5273,1522,,3051
5451-,5451-1526,3927,Corporate Traders,5451,1526,,00015-19
5316-,5316-1527,3928,Martin Dow,5316,1527,,9200008348
3981-,3981-1504,3929,Haseen Habib,3981,1504,,HO-INV 108300
4411-,4411-1519,3930,Paradise Airconditioning ,4411,1519,,992
4680-,4680-1520,3931,Paradise Airconditioning ,4680,1520,,994
4680-,4680-1049,3932,Paradise Airconditioning ,4680,1049,,994
4680-,4680-1049,3933,Paradise Airconditioning ,4680,1049,,994
4112-,4112-3728,3934,SWS Pvt Ltd,4112,3728,,1814/07/2019
5057-,5057-3721,3935,SWS Pvt Ltd,5057,3721,,1813/07/2019
5327-,5327-3722,3936,SWS Pvt Ltd,5327,3722,,1812/07/2019
5186-,5186-3635,3937,Abdoolally & Moosabhoy,5186,3635,,19200024
5025-,5025-1485,3938,Atique Trader,5025,1485,,INV-43250
4884-,4884-3700,3939,Iftekhar International,4884,3700,,P/004
4697-,4697-3671,3940,Iftekhar International,4697,3671,,P/005
4884-,4884-3672,3941,Iftekhar International,4884,3672,,P/006
4919-2486,4919-,3942,Iceland Air Conditioning,4919,,2486,396
